,P_interleukin_6_.interferon._beta_2.,P_fibroblast_growth_factor_21,P_pleiotrophin,P_troponin_I_type_3_.cardiac.,P_natriuretic_peptide_B,P_interferon._gamma,P_fibroblast_growth_factor_21.1,P_growth_hormone_1,P_Dab._mitogen.responsive_phosphoprotein._homolog_2_.Drosophila.,P_S100_calcium_binding_protein_A12,P_calcitonin.related_polypeptide_alpha,P_chemokine_.C.C_motif._ligand_7,P_keratin_19,P_zinc_finger_and_BTB_domain_containing_16,P_sprouty_homolog_2_.Drosophila.,P_GRB2.related_adaptor_protein_2,P_hydroxyacid_oxidase_.glycolate_oxidase._1,P_SMAD_family_member_1,P_apoptosis.inducing_factor._mitochondrion.associated._1,M_salicylate,M_orotidine,M_2.hydroxyhippurate_.salicylurate.,M_erythritol,M_taurocholate,Blood.draw.time.point,Patient.Location,Who.Ordinal.Scale,Sex,Age,Ethnicity,Race,Asthma,Cancer,Chronic.Hypertension,Cigarette.Smoking,Chronic.Kidney.Disease,Congestive.Heart.Failure,COPD,Coronary.Artery.Disease,Diabetes,Mechanical.Ventilation,Respiratory.Support
P_interleukin_6_.interferon._beta_2.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
P_fibroblast_growth_factor_21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
P_pleiotrophin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
P_troponin_I_type_3_.cardiac.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
P_natriuretic_peptide_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P_interferon._gamma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P_fibroblast_growth_factor_21.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P_growth_hormone_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
P_Dab._mitogen.responsive_phosphoprotein._homolog_2_.Drosophila.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
P_S100_calcium_binding_protein_A12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
P_calcitonin.related_polypeptide_alpha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P_chemokine_.C.C_motif._ligand_7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
